Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2016-01-06,198.82,206.0589,206.613,204.068,202.2,hold,sell,sell
2016-01-07,194.05,205.98505,206.3542,203.423,199.824,hold,sell,sell
2016-01-08,191.92,205.91585,206.0612,202.752,197.434,hold,sell,sell
2016-01-11,192.11,205.85005,205.7246,202.064,195.652,sell,sell,sell
2016-01-12,193.66,205.78965,205.4212,201.653,194.112,sell,sell,sell
2016-01-13,188.83,205.69255,205.0392,200.9495,192.114,sell,sell,sell
2016-01-14,191.93,205.62005,204.6712,200.2945,191.69,sell,sell,sell
2016-01-15,187.81,205.5306,204.2074,199.2835,190.868,sell,sell,sell
2016-01-19,188.06,205.4387,203.7614,198.4435,190.058,sell,sell,sell
2016-01-20,185.65,205.3278,203.2714,197.725,188.456,sell,sell,sell
2016-01-21,186.69,205.22485,202.8044,196.976,188.028,sell,sell,sell
2016-01-22,190.52,205.13755,202.4532,196.327,187.746,sell,sell,sell
2016-01-25,187.64,205.03125,202.0348,195.408,187.712,sell,sell,sell
2016-01-26,190.2,204.93205,201.6854,194.634,188.14,sell,sell,sell
2016-01-27,188.13,204.82725,201.3512,193.78,188.636,sell,sell,sell
2016-01-28,189.11,204.72535,201.0826,192.8655,189.12,sell,sell,sell
2016-01-29,193.72,204.6418,200.8446,192.255,189.76,sell,sell,hold
2016-02-01,193.65,204.5582,200.6082,191.744,190.962,sell,sell,hold
2016-02-02,190.16,204.46925,200.2368,191.201,190.954,sell,sell,sell
2016-02-03,191.3,204.3765,199.8918,190.698,191.588,sell,sell,buy
2016-02-04,191.6,204.2865,199.5376,190.337,192.086,sell,sell,buy
2016-02-05,187.95,204.1731,199.1152,190.032,190.932,sell,sell,hold
2016-02-08,185.42,204.0444,198.6366,189.707,189.286,sell,sell,sell
2016-02-09,185.43,203.9133,198.1588,189.373,188.34,sell,sell,sell
2016-02-10,185.27,203.7858,197.673,188.9535,187.134,sell,sell,sell
2016-02-11,182.86,203.6429,197.1564,188.655,185.386,sell,sell,sell
2016-02-12,186.63,203.5232,196.6754,188.39,185.122,sell,sell,sell
2016-02-16,189.78,203.4298,196.3004,188.4885,185.994,sell,sell,hold
2016-02-17,192.88,203.3406,196.0458,188.7295,187.484,sell,sell,hold
2016-02-18,192.09,203.24445,195.6952,189.0515,188.848,sell,sell,hold
2016-02-19,192.0,203.15995,195.3682,189.317,190.676,sell,sell,buy
2016-02-22,194.78,203.09365,195.1248,189.53,192.306,sell,sell,buy
2016-02-23,192.32,203.0109,194.8644,189.764,192.814,sell,sell,buy
2016-02-24,193.2,202.9188,194.611,189.914,192.878,sell,sell,buy
2016-02-25,195.54,202.8435,194.4842,190.2845,193.568,sell,hold,buy
2016-02-26,195.09,202.76905,194.328,190.5835,194.186,sell,hold,buy
2016-02-29,193.35,202.6857,194.0944,190.565,193.9,sell,sell,buy
2016-03-01,198.11,202.6152,193.896,190.788,195.058,sell,hold,buy
2016-03-02,199.0,202.548,193.7788,191.23,196.218,sell,hold,buy
2016-03-03,199.78,202.4814,193.774,191.654,197.066,sell,hold,buy
2016-03-04,200.43,202.4184,193.7492,192.0955,198.134,sell,hold,buy
2016-03-07,200.59,202.35695,193.691,192.7275,199.582,sell,hold,buy
2016-03-08,198.4,202.28145,193.5386,193.3765,199.64,sell,hold,buy
2016-03-09,199.38,202.2134,193.4126,194.074,199.716,sell,buy,buy
2016-03-10,199.54,202.1576,193.2992,194.7875,199.668,sell,buy,buy
2016-03-11,202.76,202.1079,193.2064,195.7825,200.134,hold,buy,buy
2016-03-14,202.5,202.0581,193.1378,196.576,200.516,hold,buy,buy
2016-03-15,202.17,202.01325,193.1038,197.1955,201.27,hold,buy,buy
2016-03-16,203.34,201.9721,193.1502,197.7185,202.062,hold,buy,buy
2016-03-17,204.63,201.93845,193.2156,198.3455,203.08,hold,buy,buy
2016-03-18,204.38,201.90075,193.3268,198.9645,203.404,hold,buy,buy
2016-03-21,204.67,201.87345,193.5392,199.459,203.838,hold,buy,buy
2016-03-22,204.56,201.8474,193.792,200.071,204.316,hold,buy,buy
