Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2015-06-18,556.18,550.1865,549.0056,549.917,547.624,hold,buy,hold
2015-06-19,557.52,550.0265,549.1956,549.9525,549.634,hold,buy,hold
2015-06-22,559.68,549.8592,549.4184,550.2105,552.97,hold,buy,buy
2015-06-23,563.39,549.68725,549.7134,551.0205,556.674,buy,buy,buy
2015-06-24,558.57,549.47195,550.0892,551.2365,559.068,buy,buy,buy
2015-06-25,557.95,549.30185,550.4274,551.425,559.422,buy,buy,buy
2015-06-26,553.06,549.10005,550.6182,551.812,558.53,buy,buy,buy
2015-06-29,541.25,548.85075,550.7884,551.414,554.844,hold,hold,hold
2015-06-30,540.04,548.62645,550.6986,550.7185,550.174,hold,hold,sell
2015-07-01,543.3,548.43475,550.7062,550.119,547.12,hold,sell,sell
2015-07-02,547.34,548.22755,550.6694,549.9015,544.998,hold,sell,sell
2015-07-06,545.62,547.9892,550.4326,549.706,543.51,hold,sell,sell
2015-07-07,550.03,547.753,549.96,550.0335,545.266,buy,buy,sell
2015-07-08,541.7,547.4345,549.4716,550.0105,545.598,hold,hold,sell
2015-07-09,544.65,547.1714,549.0772,549.613,545.868,hold,hold,sell
2015-07-10,556.11,546.99605,548.9716,549.9165,547.622,buy,buy,hold
2015-07-13,571.73,546.8626,549.4308,551.1295,552.844,buy,buy,buy
2015-07-14,584.18,546.85725,550.0912,553.1885,559.674,buy,buy,buy
2015-07-15,583.96,546.83755,550.7136,555.143,568.126,buy,buy,buy
2015-07-16,601.78,546.9074,551.8884,557.902,579.552,buy,buy,buy
2015-07-17,699.62,547.46345,555.1792,565.074,608.254,buy,buy,buy
2015-07-20,692.84,548.0295,558.1952,571.84,632.476,buy,buy,buy
2015-07-21,695.35,548.60185,561.1232,578.6235,654.71,buy,buy,buy
2015-07-22,695.1,549.1461,564.1096,585.209,676.938,buy,buy,buy
2015-07-23,674.73,549.58085,566.8296,591.017,691.528,buy,buy,buy
2015-07-24,654.77,549.9842,569.1352,595.858,682.558,buy,buy,buy
2015-07-27,658.27,550.35685,571.3166,601.1185,675.644,buy,buy,buy
2015-07-28,659.66,550.8011,573.58,607.039,668.506,buy,buy,buy
2015-07-29,661.43,551.3323,575.8752,613.1085,661.772,buy,buy,buy
2015-07-30,664.56,551.93135,578.1808,619.1715,659.738,buy,buy,buy
2015-07-31,657.5,552.4754,580.2806,624.6795,660.284,buy,buy,buy
2015-08-03,664.72,553.09535,582.4388,630.6345,661.574,buy,buy,buy
2015-08-04,661.28,553.71715,584.574,636.197,661.898,buy,buy,buy
2015-08-05,673.29,554.46875,587.096,642.7765,664.27,buy,buy,buy
2015-08-06,670.15,555.1576,589.414,649.0515,665.388,buy,buy,buy
2015-08-07,664.39,555.7894,591.6182,654.4655,666.766,buy,buy,buy
2015-08-10,663.14,556.39165,593.9746,659.036,666.45,buy,buy,buy
2015-08-11,690.3,557.0749,596.7964,664.342,672.254,buy,buy,buy
2015-08-12,691.47,557.78775,599.5468,669.7175,675.89,buy,buy,buy
2015-08-13,686.51,558.4709,602.1712,673.954,679.162,buy,buy,buy
2015-08-14,689.37,559.12305,604.9248,673.4415,684.158,buy,buy,buy
2015-08-17,694.11,559.80135,607.8164,673.505,690.352,buy,buy,buy
2015-08-18,688.73,560.44365,610.7214,673.174,690.038,buy,buy,buy
2015-08-19,694.04,561.0745,613.759,673.121,690.552,buy,buy,buy
2015-08-20,679.48,561.65305,616.2966,673.3585,689.146,buy,buy,buy
2015-08-21,644.03,562.05225,618.1764,672.8215,680.078,buy,buy,hold
2015-08-24,618.11,562.36305,619.5892,670.8135,664.878,buy,hold,sell
2015-08-25,612.47,562.66695,620.9786,668.454,649.626,buy,hold,sell
2015-08-26,659.74,563.20655,623.276,668.3695,642.766,buy,buy,sell
2015-08-27,667.96,563.7552,625.7032,668.5395,640.462,buy,buy,sell
2015-08-28,659.69,564.2472,627.7734,668.649,643.594,buy,buy,sell
2015-08-31,647.82,564.69505,629.5794,667.804,649.536,buy,buy,sell
2015-09-01,629.56,565.06065,630.977,666.218,652.954,buy,hold,sell
2015-09-02,644.91,565.50925,632.6074,664.799,649.988,buy,buy,sell
2015-09-03,637.05,565.9613,634.177,663.144,643.806,buy,buy,sell
2015-09-04,628.96,566.38355,635.5972,661.3725,637.66,buy,hold,sell
2015-09-08,643.88,566.86695,637.4136,660.4095,636.872,buy,buy,sell
2015-09-09,643.41,567.3652,639.4568,658.065,639.642,buy,buy,sell
2015-09-10,651.08,567.89115,641.6776,656.0455,640.876,buy,buy,sell
2015-09-11,655.3,568.43025,643.9176,654.485,644.526,buy,buy,hold
2015-09-14,652.47,568.94645,646.0202,652.64,649.228,buy,buy,sell
2015-09-15,665.07,569.53315,648.4092,651.188,653.466,buy,buy,buy
2015-09-16,665.52,570.11535,650.719,650.0275,657.888,buy,hold,buy
2015-09-17,671.67,570.77545,653.3184,648.909,662.006,buy,hold,buy
2015-09-18,660.92,571.3871,655.6438,647.981,663.13,buy,hold,buy
2015-09-21,666.98,572.03715,657.8612,649.1285,666.032,buy,hold,buy
2015-09-22,653.2,572.59025,659.4906,650.883,663.658,buy,sell,buy
2015-09-23,653.29,573.2163,660.8728,652.924,661.212,buy,sell,buy
2015-09-24,654.91,573.8372,662.2918,652.6825,657.86,buy,sell,buy
2015-09-25,640.15,574.3574,663.0592,651.292,653.706,buy,sell,hold
2015-09-28,624.25,574.83845,661.5518,649.52,645.16,buy,sell,sell
2015-09-29,622.61,575.29095,660.1472,648.2595,639.042,buy,sell,sell
2015-09-30,638.37,575.87525,659.0076,648.7,636.058,buy,sell,sell
2015-10-01,642.0,576.50605,657.9456,648.5545,633.476,buy,sell,sell
2015-10-02,656.99,577.3002,657.5908,649.5515,636.844,buy,sell,hold
2015-10-05,671.68,578.12635,657.929,651.6875,646.33,buy,hold,hold
2015-10-06,671.64,578.91145,658.1964,653.0755,656.136,buy,hold,buy
2015-10-07,670.0,579.66125,658.4032,654.405,662.462,buy,hold,buy
2015-10-08,667.0,580.33475,658.5146,655.201,667.462,buy,hold,buy
2015-10-09,671.24,580.9971,658.6482,655.998,670.312,buy,hold,buy
2015-10-12,676.43,581.6946,659.0268,657.196,671.262,buy,hold,buy
2015-10-13,683.17,582.40285,659.3958,658.101,673.568,buy,hold,buy
2015-10-14,680.41,583.11835,659.7784,658.8455,675.65,buy,hold,buy
2015-10-15,693.02,583.90705,660.173,659.913,680.854,buy,hold,buy
2015-10-16,695.32,584.73035,660.6764,661.633,685.67,buy,buy,buy
2015-10-19,699.95,585.58235,661.3876,663.2815,690.374,buy,buy,buy
2015-10-20,680.0,586.38505,661.7248,664.6215,689.74,buy,buy,buy
2015-10-21,671.8,587.21085,661.3548,665.547,688.018,buy,buy,buy
2015-10-22,681.14,588.0908,661.1482,666.8585,685.642,buy,buy,buy
2015-10-23,719.33,589.1529,661.8046,670.8175,690.444,buy,buy,buy
2015-10-26,731.12,590.3049,662.6396,676.161,696.678,buy,buy,buy
2015-10-27,732.82,591.4837,663.4138,681.6715,707.242,buy,buy,buy
2015-10-28,736.92,592.6593,664.3776,686.599,720.266,buy,buy,buy
2015-10-29,744.85,593.8539,665.3938,691.7415,733.008,buy,buy,buy
2015-10-30,737.39,595.0208,666.552,695.7615,736.62,buy,buy,buy
2015-11-02,747.74,596.2072,668.6262,699.5645,739.944,buy,buy,buy
2015-11-03,748.82,597.4016,671.2404,703.4235,743.144,buy,buy,buy
2015-11-04,755.31,598.5762,674.0972,707.689,746.822,buy,buy,buy
2015-11-05,760.67,599.69305,676.1158,712.3725,749.986,buy,buy,buy
2015-11-06,761.6,600.7913,677.9886,716.8905,754.828,buy,buy,buy
2015-11-09,754.77,601.88155,679.8902,720.8075,756.234,buy,buy,buy
2015-11-10,758.26,603.0669,682.099,724.562,758.122,buy,buy,buy
2015-11-11,765.25,604.331,684.8128,728.804,760.11,buy,buy,buy
2015-11-12,756.53,605.5475,687.0452,731.9795,759.282,buy,buy,buy
2015-11-13,740.07,606.5601,689.1056,734.217,754.976,buy,buy,buy
2015-11-16,750.42,607.6512,691.5348,736.7405,754.106,buy,buy,buy
2015-11-17,745.98,608.7146,693.5768,740.0395,751.65,buy,buy,buy
2015-11-18,760.01,609.88415,695.9088,744.45,750.602,buy,buy,buy
2015-11-19,759.94,611.0347,698.086,748.39,751.284,buy,buy,buy
2015-11-20,777.0,612.2503,700.52,751.2735,758.67,buy,buy,buy
2015-11-23,776.7,613.4874,703.0046,753.5525,763.926,buy,buy,buy
2015-11-24,769.63,614.63475,705.0958,755.393,768.656,buy,buy,buy
2015-11-25,769.26,615.79105,707.1706,757.01,770.506,buy,buy,buy
2015-11-27,771.97,616.92085,709.1766,758.366,772.912,buy,buy,buy
2015-11-30,762.85,617.9793,711.2152,759.639,770.082,buy,buy,buy
2015-12-01,783.79,619.1732,713.5514,761.4415,771.5,buy,buy,buy
2015-12-02,777.85,620.3492,716.0444,762.893,773.144,buy,buy,buy
2015-12-03,768.2,621.45795,718.3426,763.5375,772.932,buy,buy,buy
2015-12-04,779.21,622.645,720.8286,764.4645,774.38,buy,buy,buy
2015-12-07,772.99,623.83495,723.4854,765.034,776.408,buy,buy,buy
2015-12-08,775.14,625.0174,726.5032,766.0525,774.678,buy,buy,buy
2015-12-09,762.55,626.0935,729.302,766.267,771.618,buy,buy,hold
2015-12-10,760.04,627.09725,731.7354,766.0065,769.986,buy,buy,hold
2015-12-11,750.42,628.0362,733.9038,765.701,764.228,buy,buy,sell
2015-12-14,762.54,628.9738,736.0148,766.8245,762.138,buy,buy,sell
2015-12-15,760.09,629.88025,737.783,767.308,759.128,buy,buy,sell
2015-12-16,776.59,630.87155,739.882,768.8385,761.936,buy,buy,hold
2015-12-17,769.83,631.8135,741.8786,769.3295,763.894,buy,buy,hold
2015-12-18,756.85,632.73325,743.6756,769.175,765.18,buy,buy,sell
2015-12-21,760.8,633.66675,745.4668,768.365,764.832,buy,buy,sell
2015-12-22,767.13,634.70315,747.2808,767.8865,766.24,buy,buy,sell
2015-12-23,768.51,635.76725,748.9876,767.8305,764.624,buy,buy,hold
2015-12-24,765.84,636.7906,750.6962,767.6595,763.826,buy,buy,sell
2015-12-28,782.24,637.9368,752.4806,768.173,768.904,buy,buy,buy
2015-12-29,793.96,639.0984,754.4534,769.7285,775.536,buy,buy,buy
2015-12-30,790.3,640.26185,756.2604,770.054,780.17,buy,buy,buy
2015-12-31,778.01,641.3211,758.2206,770.062,782.07,buy,buy,buy
2016-01-04,759.44,642.29995,759.9734,769.624,780.79,buy,hold,hold
2016-01-05,761.53,643.28285,761.5812,768.74,776.648,buy,hold,hold
2016-01-06,759.33,644.25265,762.3812,768.057,769.722,buy,hold,hold
2016-01-07,741.0,645.06995,762.5788,766.35,759.862,buy,hold,sell
2016-01-08,730.91,645.8895,762.5406,764.768,750.442,buy,hold,sell
2016-01-11,733.07,646.73665,762.4636,763.4195,745.168,buy,hold,sell
2016-01-12,745.34,647.6756,762.4734,763.1655,741.93,buy,hold,sell
