Date,SPY,TSLA,BABA,AMZN
2015-11-23,209.07,217.75,81.31,678.99
2015-11-24,209.35,218.25,80.86,671.15
2015-11-25,209.32,229.64,81.71,675.34
2015-11-27,209.56,231.61,81.38,673.26
2015-11-30,208.69,230.26,84.08,664.8
2015-12-01,210.68,237.19,84.0,679.06
2015-12-02,208.53,231.99,85.0,676.01
2015-12-03,205.61,232.71,82.59,666.25
2015-12-04,209.62,230.38,84.85,672.64
2015-12-07,208.35,231.13,84.76,669.83
2015-12-08,206.95,226.72,84.38,677.33
2015-12-09,205.34,224.52,83.42,664.79
2015-12-10,205.87,227.07,84.33,662.32
2015-12-11,201.88,217.02,79.74,640.15
2015-12-14,202.9,218.58,80.57,657.91
2015-12-15,205.03,221.09,82.49,658.64
2015-12-16,208.03,234.51,84.63,675.77
2015-12-17,204.86,233.39,83.56,670.65
2015-12-18,200.02,230.46,82.65,664.14
2015-12-21,201.67,232.56,82.87,664.51
2015-12-22,203.5,229.95,84.84,663.15
2015-12-23,206.02,229.7,84.8,663.7
2015-12-24,205.68,230.57,83.71,662.79
2015-12-28,205.21,228.95,82.14,675.2
2015-12-29,207.4,237.19,83.26,693.97
2015-12-30,205.93,238.09,81.68,689.07
2015-12-31,203.87,240.01,81.27,675.89
2016-01-04,201.02,223.41,76.69,636.99
2016-01-05,201.36,223.43,78.63,633.79
2016-01-06,198.82,219.04,77.33,632.65
2016-01-07,194.05,215.65,72.72,607.94
2016-01-08,191.92,211.0,70.8,607.05
2016-01-11,192.11,207.85,69.92,617.74
2016-01-12,193.66,209.97,72.68,617.89
2016-01-13,188.83,200.31,70.29,581.81
2016-01-14,191.93,206.18,72.25,593.0
2016-01-15,187.81,204.99,69.59,570.18
2016-01-19,188.06,204.72,70.13,574.48
2016-01-20,185.65,198.7,68.71,571.77
2016-01-21,186.69,199.97,70.72,575.02
2016-01-22,190.52,202.55,70.37,596.38
2016-01-25,187.64,196.38,69.72,596.53
2016-01-26,190.2,193.56,69.77,601.25
2016-01-27,188.13,188.07,69.54,583.35
2016-01-28,189.11,189.7,66.92,635.35
2016-01-29,193.72,191.2,67.03,587.0
2016-02-01,193.65,196.94,67.03,574.81
2016-02-02,190.16,182.78,65.09,552.1
2016-02-03,191.3,173.48,63.44,531.07
2016-02-04,191.6,175.33,64.86,536.26
2016-02-05,187.95,162.6,62.64,502.13
2016-02-08,185.42,147.99,61.1,488.1
2016-02-09,185.43,148.25,61.39,482.07
2016-02-10,185.27,143.67,61.78,490.48
2016-02-11,182.86,150.47,60.57,503.82
2016-02-12,186.63,151.04,60.89,507.08
2016-02-16,189.78,155.17,66.29,521.1
2016-02-17,192.88,168.68,66.38,534.1
2016-02-18,192.09,166.77,66.52,525.0
2016-02-19,192.0,166.58,67.28,534.9
2016-02-22,194.78,177.74,68.84,559.5
2016-02-23,192.32,177.21,66.97,552.94
2016-02-24,193.2,179.0,67.23,554.04
2016-02-25,195.54,187.43,66.66,555.15
2016-02-26,195.09,190.34,66.91,555.23
2016-02-29,193.35,191.93,68.81,552.52
2016-03-01,198.11,186.35,70.86,579.04
2016-03-02,199.0,188.34,71.25,580.21
2016-03-03,199.78,195.74,71.02,577.49
2016-03-04,200.43,201.04,72.22,575.14
2016-03-07,200.59,205.29,72.89,562.8
2016-03-08,198.4,202.6,71.07,560.26
2016-03-09,199.38,208.72,72.43,559.47
2016-03-10,199.54,205.18,71.97,558.93
2016-03-11,202.76,207.5,74.01,569.61
2016-03-14,202.5,215.15,73.35,573.37
2016-03-15,202.17,218.34,72.23,577.02
2016-03-16,203.34,221.93,73.5,574.27
2016-03-17,204.63,226.38,74.25,559.44
2016-03-18,204.38,232.74,76.25,552.08
2016-03-21,204.67,238.32,78.11,553.98
2016-03-22,204.56,234.24,78.18,560.48
2016-03-23,203.21,222.58,76.56,569.63
2016-03-24,203.12,227.75,75.86,582.95
2016-03-28,203.24,230.26,76.48,579.87
2016-03-29,205.12,230.13,78.08,593.86
2016-03-30,206.02,226.89,78.86,598.69
2016-03-31,205.52,229.77,79.03,593.64
2016-04-01,206.92,237.59,78.73,598.5
2016-04-04,206.25,246.99,79.08,593.19
2016-04-05,204.19,255.47,77.32,586.14
2016-04-06,206.42,265.42,78.68,602.08
2016-04-07,203.95,257.2,77.61,591.43
2016-04-08,204.5,250.07,77.47,594.6
2016-04-11,204.02,249.92,77.71,595.93
2016-04-12,205.92,247.82,77.86,603.17
2016-04-13,208.0,254.53,79.64,614.82
2016-04-14,208.01,251.86,79.61,620.75
2016-04-15,207.78,254.51,78.97,625.89
2016-04-18,209.24,253.88,79.01,635.35
2016-04-19,209.9,247.37,79.46,627.9
2016-04-20,210.1,249.97,81.21,632.99
2016-04-21,208.97,248.29,80.78,631.0
2016-04-22,208.97,253.75,79.89,620.5
2016-04-25,208.61,251.82,78.84,626.2
2016-04-26,208.92,253.74,78.61,616.88
2016-04-27,209.35,251.47,77.65,606.57
2016-04-28,207.45,247.71,76.4,602.0
2016-04-29,206.33,240.76,76.94,659.59
2016-05-02,207.97,241.8,76.61,683.85
2016-05-03,206.16,232.32,75.91,671.32
2016-05-04,205.01,222.56,75.82,670.9
2016-05-05,204.97,211.53,78.83,659.09
2016-05-06,205.72,214.93,79.2,673.95
2016-05-09,205.89,208.92,79.41,679.75
2016-05-10,208.45,208.69,79.72,703.07
2016-05-11,206.5,208.96,79.8,713.23
2016-05-12,206.56,207.28,79.16,717.93
2016-05-13,204.76,207.61,77.16,709.92
2016-05-16,206.78,208.29,79.29,710.66
2016-05-17,204.85,204.66,79.35,695.27
2016-05-18,204.91,211.17,79.03,697.45
